title,contents,page_url,char_count,word_count
Start here,"For most users, the ""front door"" to JASMIN is via {{<abbr SSH>}} access to
the JASMIN login servers.
Other services are only available once these basic steps have been
completed.
{{<alert type=""info"">}}
The overview presentation of the [JASMIN workshop](https://github.com/cedadev/jasmin-workshop) training materials gives a good introduction to the range of other services available"". Once you're up & running after following the steps below, we recommend new users to try the accompanying
exercises.
{{</alert>}}
**Table 1.** Steps involved to gain login access to JASMIN.
",https://help.jasmin.ac.uk/docs/getting-started/get-started-with-jasmin#start-here,575,82
Essential steps,"Step  |  Details  |  Comments  
---|---|---  
1  |  [Generate an SSH key]({{% ref ""generate-ssh-key-pair"" %}}) |  Create this on your laptop/desktop, ready to upload the public part of it to your JASMIN account.
2  |  [Get a JASMIN portal account]({{% ref ""get-jasmin-portal-account"" %}}) | Register for an account: do this on the {{<link ""jasmin_accounts_portal"" >}}JASMIN Accounts Portal{{</link>}}. However, this simply creates a user profile to store your basic information and SSH key: it does not give you privileges to access any services yet: you will need to apply for access to the services you require, see below.
3  |  [Request ""jasmin-login"" access]({{% ref ""get-login-account"" %}}) | Apply for the `jasmin-login` service, which will create you a system account and allow you to connect to it using {{<abbr SSH>}}.
4  |  [How to login]({{% ref ""how-to-login"" %}}) |  Follow these steps for logging in to JASMIN via {{<abbr SSH>}}.
{.table .table-striped}
",https://help.jasmin.ac.uk/docs/getting-started/get-started-with-jasmin#essential-steps,968,150
Optional further steps,"Step  |  Details  |  Comments
---|---|---
5  |  Apply for access to additional services on JASMIN<br>(optional) |  JASMIN has a range of additional services, access to which is managed via the Accounts Portal. Search and apply for any services you require in the portal. In most cases, users will ""belong"" to a particular scientific project which may already have a presence on JASMIN, often in the form of a [Group Workspace]({{% ref ""short-term-project-storage"" %}}). See here how to [Apply for access to a Group Workspace]({{% ref ""apply-for-access-to-a-gws"" %}}).
6  |  [Get a CEDA account]({{% ref ""ceda-archive"" %}})<br>(optional) |  If you will need to access data in the {{<link ""ceda_archive"">}}CEDA Archive{{</link>}} for your work, it's accessible read-only throughout JASMIN,  Some datasets on the CEDA Archive require specific agreements, and to apply for access to these, you will need a CEDA account.  
7  |  [Link your JASMIN and CEDA accounts]({{% ref ""update-a-jasmin-account"" %}}) (optional)  |  The final step is to link your CEDA account to your JASMIN account. This lets you access CEDA data on JASMIN, with the same dataset access permissions that your linked CEDA account has.
{.table .table-striped}
",https://help.jasmin.ac.uk/docs/getting-started/get-started-with-jasmin#optional-further-steps,1225,188
Further information,"* Use the navigation menu on the left to find about other services on JASMIN.
* Try exercises in the JASMIN workshop training materials
* The CEDA team also hosts training workshops and events, see CEDA
{{<link ""ceda_events"">}}events{{</link>}} and {{<link ""ceda_news"">}}news{{</link>}}.
* Keep an eye on the {{<link ""ceda_status"">}}status{{</link>}} info (also provided in the terminal when you log in).
",https://help.jasmin.ac.uk/docs/getting-started/get-started-with-jasmin#further-information,405,59
Access to storage,"**IMPORTANT:** Please see also
[Understanding new JASMIN storage]({{% ref""understanding-new-jasmin-storage"" %}})
which explains more about the different types of storage as of Phase 4 of JASMIN's history.
",https://help.jasmin.ac.uk/docs/getting-started/storage,205,26
Home directory,"Every JASMIN user is allocated a HOME directory located
at `/home/users/<username>`. This directory is available across most of the
interactive and batch computing resources, including the JASMIN login and
transfer servers.
{{< alert color=""info"" >}}
In the commands on this page, please replace `<username>` with your username, or use the environment variable `${USER}`. 
For example, `/home/users/<username>`  becomes `/home/users/joebloggs`.
{{</alert>}}
Each home directory has a default **quota of 100 GB**. Although you can't 
directly check usage against your quota, you can find out the current size
of your home directory as follows (the `pdu` command is a parallel variant
of the `du` command, designed to work with the particular storage used for home
directories on JASMIN).
{{<command>}}
pdu -sh /home/users/<username>
(out)#                   ^^^^^^^^^^ replace with your username
{{</command>}}
{{<alert type=""danger"">}}You are only allowed to exceed the 100 GB quota for a very
brief period of time. If you continue to exceed the limit, you will be
unable to add any more files, which means that jobs may fail, and other things may
stop working for you. You will need to reduce your usage below the 100GB quota to resolve this.
{{</alert>}}
",https://help.jasmin.ac.uk/docs/getting-started/storage#home-directory,1257,189
Backups of your home directory,"Your home directory is backed up using a daily snapshot which provides a quick, **self-service** method for you to restore files or directories that have been accidentally deleted. Snapshot backups are kept for 1-2 weeks before being deleted.
",https://help.jasmin.ac.uk/docs/getting-started/storage#backups-of-your-home-directory,243,38
Recovering snapshots of your home directory data,"Users can access snapshots to recover files/directories that have been
accidentally deleted. These are stored in
`/home/users/.snapshot/homeusers.<snapshotid>/<username>`
The most recent backup is the one with the highest snapshot id number.
Find the ones relevant to your username with a command line this:
{{<command>}}
ls -ld /home/users/.snapshot/homeusers2.*/<username>  ## replace <username> with your own, as before
{{</command>}}
There should be up to 14 directories like this: 
drwx------ 113 joeblogs users 0 Jan 26 15:00 /home/users/.snapshot/homeusers2.2024_01_28_02_01/joebloggs
drwx------ 113 joeblogs users 0 Jan 26 15:00 /home/users/.snapshot/homeusers2.2024_01_29_02_01/joebloggs
drwx------ 113 joeblogs users 0 Jan 29 09:51 /home/users/.snapshot/homeusers2.2024_01_30_02_01/joebloggs
drwx------ 113 joeblogs users 0 Jan 30 09:29 /home/users/.snapshot/homeusers2.2024_01_31_02_01/joebloggs
drwx------ 113 joeblogs users 0 Jan 30 09:29 /home/users/.snapshot/homeusers2.2024_02_01_02_01/joebloggs
Each of these snapshot directories effectively contains your home directory as it was on that date. You can copy files back from them (yourself) to their original location.
{{<command>}}
ls -l /home/users/.snapshot/homeusers2.45678/joebloggs/
(out)total 1170964
(out)-rw-r--r-- 1 joebloggs users              104857600 Jun 26  2017 100M.dat
(out)-rw-r--r-- 1 joebloggs users             1024000000 Feb  1  2017 1G.dat
(out)-rw-r--r-- 1 joebloggs users                      0 Dec 18 12:09 6181791.err
cp /home/users/.snapshot/homeusers2.45678/joebloggs/100M.dat ~/100M.dat
{{</command>}}
A snapshot backup is also provided for `/gws/smf` volumes (similar allocations of
SSD storage for GWS groups to share): snapshots in this case are made hourly
and kept for 10 hours, then daily snapshots are kept for 2 weeks. These can
be retrieved in a similar manner to that shown above. In this case the
relevant directories should be found at
{{<command>}}
    /gws/smf/jNN/<gwsname>/.snapshot
{{</command>}}
(where `NN` = `04` or `07` depending on where the volume is located)
{{<alert type=""danger"">}}All other group workspace volumes are **not backed up**. The only exception to this is the snapshot backups for `smf` SSD volumes just described.
{{</alert>}}
Please also note the {{<link ""#advice-on-inter-volume-symlinks-in-jasmin-storage"">}}advice on inter-volume symlinks{{</link>}}, below: these are to be avoided.
",https://help.jasmin.ac.uk/docs/getting-started/storage#recovering-snapshots-of-your-home-directory-data,2424,292
JASMIN disk mounts,"There is a common file system layout that underpins most of the JASMIN
infrastructure. However, access to different parts of the file system will
depend on where you are logged in. Table 1 outlines the key disk mounts, where
they are accessible from and the type of access (read and/or write).
**Table 1.** List of common disk mounts, types of storage and their
availability on JASMIN
Disk mount  
location |  login  |  sci  |  transfer  |  LOTUS  |  Type  |  Parallel-write  
---|---|---|---|---|---|---  
/home/users  |  R/W  |  R/W  |  R/W  |  R/W  |  SSD  |  no
/gws/pw/j07<br>/gws/nopw/j04 (see note 1 below)<br>/gws/smf/j0[4,7] |  no<br>no<br>no | R/W<br>R/W<br>R/W | R/W<br>R/W<br>R/W | R/W<br>R/W<br>R/W | PFS<br>SOF<br>SSD | yes (hence ""pw"")<br>no (hence ""nopw"")<br>no
/work/xfc/volX (see note 2 below) |  no<br>no  |  R/W  |  R/W |  R/W  | PFS  | yes
/work/scratch-pw[2,3]<br>/work/scratch-nopw  |  no<br>no  |  R/W<br>R/W  |  no<br>no |  R/W<br>R/W  | PFS<br>SSD  | yes<br>no
/apps/contrib  |  No  |  RO  |  No  |  RO  |  n/a  |  n/a  
/badc, /neodc (archives)  |  No  |  RO  |  RO  |  RO  |  n/a  |  n/a  
{.table .table-striped}
login = {{<link ""../interactive-computing/login-servers"">}}login servers{{</link>}}: login[1-4].jasmin.ac.uk  
sci = {{<link ""../interactive-computing/sci-servers"">}}scientific analysis servers{{</link>}}:
sci[1-6,8].jasmin.ac.uk  
transfer = {{<link ""../interactive-computing/transfer-servers"">}}data transfer servers{{</link>}}:
xfer[1-2].jasmin.ac.uk  
LOTUS = {{<link ""../batch-computing/lotus-overview"">}}LOTUS batch processing cluster{{</link>}}(all cluster
nodes)  
Disks are mounted read/write ("" **R/W** "") or read-only ("" **RO** "").
**Note 1:** Please refer to issues related to writing small files and NetCDF3
to SOF storage [here]({{% ref ""faqs-storage"" %}})
**Note 2:** For details of how to use the Transfer Cache (XFC) service please see [here]({{% ref ""xfc"" %}})
",https://help.jasmin.ac.uk/docs/getting-started/storage#jasmin-disk-mounts,1921,256
Where to write data,"As indicated in table 1 there are three main disk mounts where data can be
written. Please follow these general principles when deciding where to write
your data:
- HOME directories (`/home/users`) are relatively small (100GB) and should NOT be used for storing large data volumes or for sharing data with other users.
0 Group Workspaces (mostly `/gws/nopw/*/<project>` but some `/gws/pw/*/<project`) are **usually the correct place to write your data**, although they are **not backed up**. Please refer to the [Group Workspace]({{% ref ""short-term-project-storage"" %}}) documentation for details.
  - `/gws/pw/j07` volumes are parallel-write-capable storage from Phase 7 (onwards) of JASMIN
  - `/gws/nopw/j04` volumes are ""Scale out Filesystem"" (SOF) from Phase 4 (onwaards) of JASMIN: this storage is not parallel-write-capable
- The ""scratch"" areas (`/work/scratch-pw2`, `/work/scratch-pw3` and `/work/scratch-nopw`) are available as a temporary file space for jobs running on [LOTUS]({{% ref ""lotus-overview"" %}}) (see next section below).
- The `/tmp` directory is **not usually an appropriate location to write your data (see next section below).**
",https://help.jasmin.ac.uk/docs/getting-started/storage#where-to-write-data,1157,164
How to use the temporary disk space,,https://help.jasmin.ac.uk/docs/getting-started/storage#how-to-use-the-temporary-disk-space,0,0
Scratch,"The scratch areas `/work/scratch-pw2`, `/work/scratch-pw3` and
`/work/scratch-nopw` are a temporary file space shared across the entire LOTUS
cluster and the scientific analysis servers.
These scratch areas are ideal for processes that generate _intermediate_ data
files that are consumed by other parts of the processing before being deleted.
Please remember that these volumes are resources shared between all users, so
consider other users and remember to clean up after your jobs. **** Any data
that you wish to keep should be written to a Group Workspace (but remember to
change the group-ownership of the data if you do).
There are 2 types of scratch storage available:
- **PFS scratch** (lots of it, fast, less good for small files) as 2 x 1 PB volumes `/work/scratch-pw[2,3]` and particularly suitable for users with a need for storage capabale of shared-file writes with MPI-IO, but good for most purposes.
- **SSD scratch** (less of it, very fast, good for small files) `/work/scratch-nopw2` as 1 x 220 TB volume. Do not use for operations that attempt to write to multiple parts of a file simultaneously. Please be aware of this if your code (perhaps inadvertently?) writes to a shared log file.
When using the ""scratch"" areas, please create a sub-directory (e.g.
`/work/scratch-????/<username>`) labelled with your username and write your data there.
",https://help.jasmin.ac.uk/docs/getting-started/storage#scratch,1363,216
/tmp,"In contrast to the ""scratch"" space, `/tmp` directories on LOTUS nodes 
and physical sci machines are all local to the machine. These can be used
to store _small_ volumes of temporary data for a job that only needs to be
read by the local process. But `/tmp` on virtual sci machines, are not local and
therefore should not usually be used by users.
",https://help.jasmin.ac.uk/docs/getting-started/storage#/tmp,348,63
Cleaning up the scratch and tmp directories,"**Please** make sure that your jobs delete any files under the `/tmp`and scratch
directories when they are complete ( _especially_ if jobs have not been
completed normally!).
Please do this yourself so that you are not taken by surprise when automated 
deletion processes clear up any residual data:
{{<alert type=""danger"">}}
Automated cleanup processes run daily and
delete files that are older than 28 days from the last time of being
accessed. This applies to `/work/scratch-pw2`, `/work/scratch-pw3` and
`/work/scratch-nopw2`
Please remember that shared temporary storage is for the use of all 2,000 users
of JASMIN, not just you. If you persistently store large amounts (100s of TB) of data in scratch 
for long periods of tine, you deny use of that storage to other users (so expect action from the JASMIN team).
Please be a good JASMIN citizen!
{{</alert>}}
Any important data for keeping should be written to
a [Group Workspace]({{% ref ""introduction-to-group-workspaces"" %}})
or to your home directory if appropriate.**
The `/work/scratch-pw[2,3]` and `/work/scratch-nopw` areas are not available on
the xfer, login or nx-login servers.
",https://help.jasmin.ac.uk/docs/getting-started/storage#cleaning-up-the-scratch-and-tmp-directories,1146,175
Avoid inadvertently writing to /tmp,"Sometimes software is configured by default to write to `/tmp`. Where possible, you 
should over-ride this and use your group workspace or a username-labelled directory 
within the scratch space instead.
To do this, please add the following lines (or
similar) to your $HOME/.bashrc file:
export TMPDIR=/<path-to-your-GWS-or-scratch>/<your_username>/tmp
# create the directory if needed
[ -d $TMPDIR ] || mkdir -p $TMPDIR
...but please check that location regularly to clear it out!
",https://help.jasmin.ac.uk/docs/getting-started/storage#avoid-inadvertently-writing-to-/tmp,482,70
Access to the CEDA archive,"The CEDA Archive is mounted read-only under paths refleting the NERC data centres
which merged to form CEDA, i.e.
- `/badc` (British Atmospheric Data Centre)
- `/neodc` (NERC Earth Observation Data Centre).
(other data centre paths now also exist at that level: see {{<link ""ceda_helpdocs"">}}CEDA Help docs{{</link>}} for more info)
The Archive includes a range of data sets that are provided under varying licences. Access
to these groups is managed through standard Unix groups. Information about the
data and their access restrictions is available from the {{<link ""ceda_catalogue"">}}CEDA Catalogue{{</link>}}. 
{{<alert type=""info"">}}
As a JASMIN user, it is your
responsibility to ensure that you have the correct permissions to access data
any data in CEDA Archive from within JASMIN, even if file system permissions permit access.
{{</alert>}}
",https://help.jasmin.ac.uk/docs/getting-started/storage#access-to-the-ceda-archive,851,126
Tape access,"Group workspace managers also have access to near-line storage on tape, see [Elastic Tape
service]({{% ref ""secondary-copy-using-elastic-tape"" %}}) for making
secondary copies and managing storage between online and near-line storage.
",https://help.jasmin.ac.uk/docs/getting-started/storage#tape-access,235,30
Number of files in a single directory,"It is highly recommended that you do not exceed more than 100,000 files in a
single directory on any type of storage on JASMIN. Large numbers of files
place unnecessary load on components of the file system and can be the source
of slow performance for you and other storage volumes in the system. To count
the number of files, please note the advice in {{<link ""#slow-ls-response"">}}slow `ls` response{{</link>}} below, or
use an alternative command e.g. `find`.
",https://help.jasmin.ac.uk/docs/getting-started/storage#number-of-files-in-a-single-directory,464,77
Slow 'ls' response,"This can be due to a number of reasons (see above advice regarding number of
files in a single directory, and below regarding inter-volume symlinks). To
speed up the response (useful if you want to count the number of files) it
often helps to un-alias ls, e.g. by placing a backslash in front of the
command: `\ls`.
",https://help.jasmin.ac.uk/docs/getting-started/storage#slow-'ls'-response,316,57
Advice on inter-volume symlinks in JASMIN storage,"We highly recommend users _not_ to use symbolic links in their home
directories to other parts of the JASMIN file systems, such as GWSs or scratch
areas. There are a number of conditions when the petabyte-scale JASMIN storage
can become unusable for all users due to these links. There is a more
technical explanation below. We would advise **path substitutions using
environment variables** instead.
Symlinks in users' home directories that point to other volumes (for example
group workspaces) make matters worse _when_ there are problems on the
`sci*.jasmin.ac.uk` servers and other shared machines, and/or when the
metadata servers responsible for particular storage volumes themselves become
overloaded. The simplest advice we can currently give is to **avoid** using
symlinks.
**In more detail:**
This issue is particularly apparent when `ls` is aliassed to `ls --color` (as
is the default on 99% of JASMIN systems) AND one of the colorisation options
specified is for an orphaned link. The `ls` on symlinks causes the metadata
servers at the end of the symlink to be called (to provided the `stat`
filesystem metadata), in addition to the metadata server for the home
directory. If those metadata servers at the far end are under load, or have
some other problem, the `ls` to the home directory can hang, but this also
hangs other users who may be trying to ls their own home directory (even if
theirs contains no symlinks). The situation can then escalate out of control
as more and more users try and fail.
This is happens especially where one or more of the volumes involved
contains large numbers of small files.
",https://help.jasmin.ac.uk/docs/getting-started/storage#advice-on-inter-volume-symlinks-in-jasmin-storage,1624,267
Get a login account,"A user with a `jasmin-login` grant is allocated a `HOME` directory of
**100GB** and can access the shared JASMIN servers (Scientific servers, data
transfer servers) and the LOTUS batch cluster. Sign in into the
{{<link ""jasmin_accounts_portal"">}}JASMIN accounts portal{{</link>}} where you can apply for a JASMIN login
account representing the JASMIN access role appropriate to your affiliation.
{{<image src=""img/docs/get-login-account/login-not-applied.png"" caption=""The 'My Services' page showing a message that the user has not been granted any services yet"">}}
**Step 1:** Select Login services and navigate to the 'More information' on
this service
{{<image src=""img/docs/get-login-account/login-services.png"" caption=""More information"">}}
**Step 2:** Apply for access to jasmin-login service
{{<image src=""img/docs/get-login-account/login-more-info.png"" caption=""Apply for jasmin-login"">}}
**Step 3:** Provide supporting information
{{<image src=""img/docs/get-login-account/login-apply.png"" caption=""Provide supporting information"">}}
**Step 4:** Your request is pending for approval
{{<image src=""img/docs/get-login-account/login-submitted.png"" caption=""Request pending"">}}
**Step 4:** Upon approval, a notification email is sent to you. Additionally,
a notification counter in the bell will appear on the top left corner of the
menu bar on your JASMIN account portal page. You have now access to the login
server and to the scientific servers
{{<image src=""img/docs/get-login-account/login-granted.png"" caption=""Notification"">}}
Under 'My Services' you can view all the services that you currently have
access to or have requested access for. Note: Every time a notification is
acknowledged the counter is reset or decremented.
Now you can proceed to [How to login]({{% ref ""how-to-login"" %}})
",https://help.jasmin.ac.uk/docs/getting-started/get-login-account#get-a-login-account,1803,223
tips-for-new-users,"These tips for new users are based on users' queries encountered by our helpdesk. They are not exhaustive but may help solve some initial problems and set out best practice.
- Sci machines
- LOTUS
- Xfer servers
- How to report an issue
",https://help.jasmin.ac.uk/docs/getting-started/tips-for-new-users,237,44
"""Sci"" machines usage guidelines","1. Check the current load and number of users on the sci machines, as shown by the login servers, to select a less-used sci machine. [The available Sci machines and their specifications are listed in the table of this help page]({{% ref ""sci-servers"" %}})
2. The sci machines are not for running large, long-running tasks, or scripts that spawn multiple child processes. The batch processing cluster LOTUS is available for heavier processing. The sci machines are for development, testing, and light interactive use. Overloading these with processing seriously impairs performance for interactive use by others.
3. Do not write to the temporary partition `/tmp`on sci machines. [Use your home directory, a scratch volume or a Group Workspace ]({{% ref ""understanding-new-jasmin-storage"" %}}). Any temporary data files can reside in a subdirectory of your group workspace instead of `/tmp`. To do this, please add the following lines (or similar) to your `$HOME/.bashrc` file:
export TMPDIR=/group_workspaces/jasmin/<your_project>/<your_username>/tmp
## create the directory if needed
[ -d $TMPDIR ] || mkdir -p $TMPDIR
4. If a process hangs, do not simply close the terminal window. Please contact the helpdesk and alert the team so that the process can be shut down. Otherwise hung processes build up and contribute to machine overloading.
5. Do not “hog” IDL development licenses. A limited number of these are available for _development_ and compilation of IDL code which should then be run on LOTUS [using IDL runtime licenses]({{% ref ""idl"" %}}), of which there are many more.
6. Do not use sci machines for data transfer: [xfer hosts are provided for this purpose]({{% ref ""transfer-servers"" %}}).
","https://help.jasmin.ac.uk/docs/getting-started/tips-for-new-users#""sci""-machines-usage-guidelines",1704,265
LOTUS usage guidelines,"1. Do not use [IDL development licences]({{% ref ""idl"" %}}) on LOTUS. There are many **runtime** licenses available, but the **development** licenses are for interactive use on the sci machines, where IDL code can be compiled, then run on LOTUS using a **runtime** license.
2. Beware of inadvertently filling up `/tmp` on LOTUS nodes. This can take nodes out of action (perhaps for other users who still have jobs running on the same node) if `/tmp` fills up. Design your code to clean up as it goes along, and use environment variables to control where your applications write temporary data, ideally to storage which is not specific to a LOTUS node. If your job crashes, check which nodes were involved and clean up after yourself.
3. Do not store data in scratch areas for long periods of time. Move data away to group workspaces once your processing has finished.
",https://help.jasmin.ac.uk/docs/getting-started/tips-for-new-users#lotus-usage-guidelines,868,149
Xfer servers guidelines,"1. Do not run a large number (>16) of rsync or scp transfer processes in parallel.
2. Do not run processing on xfer servers: they are provided for data transfer only
3. For heavy/high-performance data transfers, use Globus or one of the `hpxfer` servers.
",https://help.jasmin.ac.uk/docs/getting-started/tips-for-new-users#xfer-servers-guidelines,255,44
How to report an issue,"When you do experience an issue, please;
1. Make it clear whether you are simply advising the helpdesk of a general issue (which will be noted, but not necessarily investigated for a specific response), or
2. Provide FULL and SPECIFIC details of your problem so that it can be investigated. JASMIN is a complex infrastructure with many hundreds of hosts and storage volumes, so reporting that “JASMIN” or “Storage” is slow, is not sufficient.
3. If you are experiencing difficulties accessing a particular storage volume from a particular sci machine, **please** state:
    - the **full path** to the data you are trying to access:
    - the **full hostname** of the machine (but please try the same access from at least one other machine to help establish whether it’s related to the machine or the storage)
    - the **date and time** of the issue (for matching up with system reports/log files. Using the date and time of the email is not sufficient: please be specific in your report)
4. Be patient: sometimes, queries will take longer to resolve if they are complex or if relevant staff are not available.
5. Some issues will only be resolved by strategic improvements which are planned as part of phased upgrades to JASMIN accompanied by capital procurements followed by integration work, all carried out by the same, small team.
",https://help.jasmin.ac.uk/docs/getting-started/tips-for-new-users#how-to-report-an-issue,1336,224
Generate an SSH key pair,"This article explains how to create an SSH key pair for logging in to JASMIN.
You can also use this procedure to update an existing SSH key pair for JASMIN.
However, if you are experiencing problems logging in to JASMIN you are advised
to first check {{<link ""../interactive-computing/login-problems"">}}Login problems{{</link>}} before changing your
key. Once you have created your SSH key pair it will need to be uploaded to
the JASMIN accounts portal. If this is the first time you have created a key
pair then this will be done when you create an account on the portal (Step 2
of {{<link ""get-started-with-jasmin"">}}Get Started with JASMIN{{</link>}}). If you
are updating your key for an existing account then you will need to update it
in your
{{<link ""https://accounts.jasmin.ac.uk/account/login/?next=/account/profile/"">}}JASMIN profile{{</link>}}.
",https://help.jasmin.ac.uk/docs/getting-started/generate-ssh-key-pair,856,127
The shell terminal,"Generating an SSH key pair requires an SSH client and a Shell terminal. Linux
and Mac users can use a standard terminal which is very likely to have SSH
installed. Windows users are advised to {{<link ""../uncategorized/mobaxterm"">}}install the MobaXterm
application{{</link>}} which provides a linux-style terminal
with all the relevant utilities included. Figures 1 and 2 show example
terminal windows on a Mac and Windows (using MobaXterm).
{{<image src=""img/docs/generate-ssh-key-pair/file-QrkL51B5fW.png"" caption=""Mac terminal"" >}}
{{<image src=""img/docs/generate-ssh-key-pair/file-jmOb6PSApE.png"" caption=""Terminal using Mobaxterm client on Windows"">}}
",https://help.jasmin.ac.uk/docs/getting-started/generate-ssh-key-pair#the-shell-terminal,658,79
